,VOLUME_SESSION,AVG_J_S,Rech_Moy,MNT_FORFAIT_DATA,NB_JOUR_ACT_IN,revenu_cdr,P_revenu_data,P_FF_Journalier,P_FF_mensuel,P_N_Rech_sup5,Evolution volume session,Evolution rech_moy,pca_clusters
2268,0.0,0.0,3.51,0.0,23.166999999999998,4.57,0.0,0.0,0.0,0.56,0,-1,0
2269,0.06,0.0,1.24,0.0,29.833000000000002,12.63,0.0,0.0,0.0,0.09,0,0,0
2271,5339.26,0.0,4.71,21.6,29.833000000000002,0.37,0.98,0.3,0.7,0.94,-107,0,0
2273,276.56,0.0,1.7,1.56,26.5,3.49,0.52,0.83,0.0,0.31,96,0,1
2274,0.01,0.0,1.7,0.0,30.0,6.5,0.0,0.0,0.0,0.13,-19,0,1
2275,0.0,0.33,1.63,0.0,25.0,5.97,0.26,0.0,0.0,0.18,0,0,0
2276,0.0,0.0,1.19,0.0,30.0,25.13,0.01,0.0,0.0,0.04,0,0,0
2277,9260.06,0.0,2.76,28.67,24.666999999999998,3.57,0.89,0.97,0.02,0.52,1452,0,0
2278,0.1,0.0,1.41,0.0,30.0,5.09,0.24,0.0,0.0,0.05,0,0,0
2279,1956.22,0.0,1.21,10.98,30.0,38.69,0.22,1.0,0.0,0.05,1,0,1
2280,3314.86,0.0,4.85,16.5,29.5,5.96,0.73,0.0,1.0,0.97,2549,0,2
2281,0.0,0.0,2.75,0.0,28.5,5.07,0.29,0.0,0.0,0.41,0,0,2
2282,0.0,0.0,3.29,0.0,25.666999999999998,6.2,0.0,0.0,0.0,0.53,0,0,0
2283,0.09,0.0,2.5,0.0,29.833000000000002,13.28,0.0,0.0,0.0,0.53,0,0,0
2284,26.66,3.85,1.0,0.15,13.333,1.33,0.1,0.17,0.0,0.0,-34,0,0
2285,57.51,0.0,4.46,0.78,30.0,23.62,0.11,0.33,0.0,0.89,30,0,2
2287,0.0,0.8,1.45,0.0,22.0,2.17,0.0,0.0,0.0,0.06,0,0,0
2288,0.0,0.0,4.99,0.0,29.166999999999998,12.55,0.0,0.0,0.0,1.0,0,0,0
2289,0.0,0.67,2.46,0.0,20.833000000000002,4.4,0.0,0.0,0.0,0.42,0,0,1
2290,0.0,11.67,3.66,0.0,19.667,1.76,0.0,0.0,0.0,0.33,0,0,1
2291,0.21,11.83,2.34,0.0,14.5,0.98,0.0,0.0,0.0,0.08,0,1,0
2292,0.34,0.64,1.0,0.0,25.666999999999998,3.62,0.0,0.0,0.0,0.0,-3,0,1
2294,7301.36,0.0,4.28,28.33,30.0,19.44,0.59,0.0,1.0,0.86,913,0,2
2295,0.0,0.0,4.99,0.0,25.166999999999998,18.22,0.0,0.0,0.0,1.0,0,0,1
2296,0.0,0.0,1.22,0.0,22.833000000000002,7.61,0.0,0.0,0.0,0.08,0,0,0
2297,6.38,0.0,1.81,0.15,30.0,18.76,0.01,0.17,0.0,0.25,6,0,1
2298,2730.52,0.0,2.24,13.97,30.0,18.31,0.46,0.94,0.05,0.33,-113,0,0
2299,0.0,5.4,1.44,0.0,23.333000000000002,3.29,0.0,0.0,0.0,0.2,0,0,1
2300,0.0,0.0,2.29,0.0,27.833000000000002,5.9,0.0,0.0,0.0,0.58,0,0,0
2301,0.0,0.0,4.55,0.0,24.666999999999998,6.0,0.0,0.0,0.0,0.92,0,0,1
2302,0.0,1.0,1.2,0.0,15.833,3.78,0.0,0.0,0.0,0.04,0,0,0
2303,0.65,0.0,5.66,0.0,29.166999999999998,24.95,0.0,0.0,0.0,0.89,0,0,1
2304,3213.99,0.0,1.61,13.88,29.5,4.44,0.77,0.99,0.01,0.15,690,0,1
2305,100.65,0.0,4.9,1.08,30.0,30.59,0.03,0.0,0.08,0.97,-1566,0,0
2306,0.0,0.0,1.32,0.0,28.333000000000002,17.81,0.0,0.0,0.0,0.14,0,0,1
2307,0.0,0.0,5.0,0.0,29.333000000000002,24.17,0.0,0.0,0.0,1.0,0,0,0
2308,2.41,0.33,1.13,0.0,27.833000000000002,5.59,0.0,0.0,0.0,0.03,-7,0,1
2309,0.0,2.33,1.14,0.0,30.0,6.7,0.0,0.0,0.0,0.04,0,0,1
2310,0.0,0.75,1.0,0.0,18.667,3.79,0.0,0.0,0.0,0.0,0,0,1
2311,0.0,0.0,4.85,0.0,30.0,24.64,0.0,0.0,0.0,0.98,0,0,1
2312,6544.73,0.0,4.23,29.62,30.0,14.23,0.68,0.13,0.87,0.82,-1221,0,0
2313,1.53,0.0,4.53,0.0,24.333000000000002,12.78,0.0,0.0,0.0,0.92,0,0,1
2315,0.0,0.0,3.66,0.0,26.833000000000002,0.86,0.79,0.0,0.0,0.25,0,-1,0
2316,0.0,0.0,1.0,0.0,30.0,13.84,0.0,0.0,0.0,0.0,0,0,1
2317,0.0,3.0,1.0,0.0,23.833000000000002,5.43,0.0,0.0,0.0,0.0,0,0,0
2318,0.0,0.0,1.0,0.0,29.333000000000002,10.21,0.0,0.0,0.0,0.0,0,0,0
2319,0.02,1.55,1.0,0.0,26.833000000000002,3.64,0.0,0.0,0.0,0.0,0,0,1
2320,2182.59,0.0,4.76,7.53,30.0,21.42,0.34,0.89,0.0,0.94,-425,0,1
2321,0.64,0.0,4.49,0.0,15.5,10.83,0.0,0.0,0.0,0.9,0,0,1
2322,0.0,0.0,5.0,0.0,30.0,20.9,0.0,0.0,0.0,1.0,0,0,0
